OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
107,18,31,-,"3,420.00",-38.2,500,"3,248.50","3,593.90",500,"20,150.00"
225,14,26,-,"3,373.10",-107.15,500,"3,201.85","3,450.00",125,"20,200.00"
206,-,8,-,"3,378.05",-12.85,"1,775","3,027.35","3,447.20",500,"20,250.00"
198,3,20,-,"3,290.00",-10,500,"3,115.45","3,455.20",500,"20,300.00"
195,-,9,-,"3,296.00",-5.2,500,"3,121.05","3,351.10",500,"20,350.00"
254,24,36,-,"3,246.15",34.5,500,"3,071.20","3,342.15",500,"20,400.00"
156,9,9,-,"3,135.10",-3.7,500,"2,960.60","3,304.15","1,000","20,450.00"
"1,855",527,817,-,"3,070.00",-103.15,25,"3,046.80","3,077.60",25,"20,500.00"
48,-,10,-,"3,090.90",-77.75,500,"2,915.95","3,214.90",500,"20,550.00"
183,33,33,-,"3,008.95",-114.35,825,"2,769.80","3,156.15",900,"20,600.00"
106,13,13,-,"2,900.00",-173.25,825,"2,699.50","3,100.10",900,"20,650.00"
172,10,10,-,"2,946.30",-77.5,500,"2,771.35","2,991.25",900,"20,700.00"
160,9,9,-,"2,839.25",-65.4,500,"2,664.70","2,928.65",500,"20,750.00"
163,13,13,-,"2,803.35",-66.65,500,"2,633.90","2,890.65","1,000","20,800.00"
164,8,8,-,"2,750.70",-125.35,"1,775","2,511.95","2,827.75","1,000","20,850.00"
134,8,9,-,"2,759.65",-68.05,500,"2,584.60","2,804.30","1,000","20,900.00"
156,8,8,-,"2,646.55",-113.05,500,"2,472.45","2,732.75",500,"20,950.00"
"10,570","1,690","3,341",-,"2,584.45",-94.45,50,"2,567.90","2,586.85",175,"21,000.00"
214,12,12,-,"2,582.15",-46.6,500,"2,407.30","2,665.60",500,"21,050.00"
197,9,10,-,"2,481.20",-81.45,500,"2,310.90","2,573.95",500,"21,100.00"
188,8,8,-,"2,465.50",-129.25,500,"2,290.75","2,529.70",500,"21,150.00"
191,9,12,-,"2,389.35",-102.75,500,"2,218.80","2,486.05",500,"21,200.00"
130,10,11,-,"2,387.75",-24.2,500,"2,217.05","2,459.40",500,"21,250.00"
177,8,8,-,"2,365.25",-24.35,500,"2,190.15","2,378.55",500,"21,300.00"
111,8,8,-,"2,309.10",-59.5,500,"2,134.05","2,301.95",50,"21,350.00"
97,8,8,-,"2,267.95",-40.5,500,"2,092.80","2,286.40",500,"21,400.00"
144,8,8,-,"2,150.80",-79.65,500,"1,976.15","2,249.25",500,"21,450.00"
924,103,167,-,"2,115.50",-80.1,150,"2,071.70","2,107.55",900,"21,500.00"
142,8,8,-,"2,094.95",11,500,"1,920.00","2,136.75",500,"21,550.00"
112,8,8,-,"2,010.20",-67.35,500,"1,835.50","2,048.45",450,"21,600.00"
107,8,8,-,"1,982.60",-97.35,500,"1,807.75","2,041.80",500,"21,650.00"
53,-,-,-,"1,996.05",3,500,"1,805.00","1,949.20",450,"21,700.00"
91,8,8,-,"1,895.55",-38.8,500,"1,720.60","1,941.00",500,"21,750.00"
178,-8,30,-,"1,813.00",-113.4,500,"1,642.50","1,898.20",500,"21,800.00"
51,8,9,-,"1,777.75",-59.8,500,"1,602.90","1,837.80",500,"21,850.00"
134,-2,24,-,"1,730.35",-58.9,450,"1,653.70","1,798.20",450,"21,900.00"
111,12,12,-,"1,702.50",-52,500,"1,532.20","1,777.00",500,"21,950.00"
"16,186","2,668","7,735",-,"1,617.00",-98.05,25,"1,612.00","1,618.15",25,"22,000.00"
126,9,9,-,"1,588.60",-99.95,500,"1,413.70","1,638.00","1,000","22,050.00"
