OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
-,-,-,-,-,-,-,-,-,-,"14,000.00"
"16,336",-581,763,-,"8,465.70",-103.35,25,"8,400.00","8,473.85",25,"15,000.00"
1,-,-,-,"6,649.65",-,"1,775","7,081.45","7,650.25",25,"16,000.00"
680,-86,110,-,"6,470.00",-114.85,50,"6,419.75","6,516.45",400,"17,000.00"
"13,929",-730,"1,133",-,"5,461.35",-113.55,300,"5,426.00","5,470.20",25,"18,000.00"
141,-7,15,-,"4,995.15",-82.85,50,"4,136.00","5,250.00",50,"18,500.00"
"11,286","-1,084","2,015",-,"4,471.10",-111.45,25,"4,460.00","4,465.90",25,"19,000.00"
"25,399",-341,"1,419",-,"3,463.25",-119.8,25,"3,463.00","3,472.85",25,"20,000.00"
18,-,-,-,"3,343.00",-,500,"3,264.55","3,381.05",500,"20,150.00"
610,1,1,79.48,"3,399.00",21.5,150,"3,237.00","3,293.30",125,"20,200.00"
165,-,-,-,"3,078.75",2.75,250,"3,160.40","3,298.75",500,"20,250.00"
556,-13,32,-,"3,211.20",-60,75,"3,129.85","3,197.40",150,"20,300.00"
210,-,2,-,"3,164.20",-59.15,50,"3,070.15","3,161.70",500,"20,350.00"
141,-2,4,69.71,"3,179.85",13.85,50,"3,038.85","3,097.10",50,"20,400.00"
134,-,-,-,"2,882.65",-0.45,500,"2,950.80","3,099.65",500,"20,450.00"
"6,913",-517,707,-,"2,970.00",-114.85,50,"2,953.40","2,973.55",75,"20,500.00"
202,-,-,-,"2,954.30",-6.8,500,"2,782.90","2,998.65",500,"20,550.00"
551,-8,13,-,"2,868.20",-101.8,75,"2,852.55","2,895.20",150,"20,600.00"
141,-,-,-,"2,685.25",-0.15,500,"2,759.80","2,880.90",525,"20,650.00"
400,-15,19,-,"2,767.75",-92.25,50,"2,725.00","2,790.80",50,"20,700.00"
