STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
"21,650.00",75,12.5,28,400,-0.25,14,17.85,4,4,5
"21,700.00",400,10.3,28,400,-,-,-,-,-,-
"21,750.00",400,10.7,29,400,-,17.6,-,-,-,1
"21,800.00",25,17.75,22.45,100,-21.8,19.45,17.75,447,422,422
"21,850.00",600,14,34,400,-,-,-,-,-,-
"21,900.00",600,13.5,-,-,-,-,-,-,-,-
"21,950.00",600,13.5,40.4,450,-29.35,25.2,17.44,38,38,38
"22,000.00",25,24.35,27,25,-5.05,24.95,16.98,460,355,385
"22,050.00",600,15.3,64,450,-,-,-,-,-,-
"22,100.00",750,15.2,63,450,-,-,-,-,-,-
"22,150.00",750,16.5,-,-,-,-,-,-,-,-
"22,200.00",600,25.1,57.7,575,8.3,33.5,16.36,123,111,115
"22,250.00",600,21,-,-,-,-,-,-,-,-
"22,300.00",600,26,60.85,300,-,-,-,-,-,-
"22,350.00",600,21,80,100,-,-,-,-,-,-
"22,400.00",250,38.2,59.9,25,-11.45,43.55,15.59,306,134,144
"22,450.00",600,25.5,70.9,50,-54,71.6,17.45,1,1,1
"22,500.00",600,43.7,51,300,2.8,50,15.22,"1,042",238,878
"22,550.00",750,31.5,75,25,-,90,-,-,-,20
"22,600.00",300,31.3,82.15,600,-,-,-,-,-,-
"22,650.00",750,30.5,-,-,-,-,-,-,-,-
"22,700.00",50,62,80,500,5.9,77.9,15.29,39,19,23
"22,750.00",750,41.5,-,-,-,-,-,-,-,-
"22,800.00",25,73.25,96.2,600,5.85,84.9,14.66,110,40,173
"22,850.00",750,52.5,143,25,-,-,-,-,-,-
"22,900.00",25,97,112.85,25,13.7,103.7,14.64,727,148,181
"22,950.00",600,36.8,433.8,50,-149.9,102.1,13.97,5,3,3
"23,000.00",25,112.95,126.25,25,10.35,124,14.55,"1,535",226,855
"23,050.00",900,118.9,159.5,900,-,-,-,-,-,-
"23,100.00",600,123.95,157.4,25,-,-,-,-,-,-
"23,150.00",900,115.9,184.9,600,-,-,-,-,-,-
"23,200.00","1,050",164.95,175.7,25,15.65,171.55,14.24,303,19,68
"23,250.00",-,-,241.45,600,-74.5,161.25,13.08,1,-,1
"23,300.00",25,187.15,215.05,25,8.3,203.3,14.21,349,56,149
"23,350.00",50,205.85,256.15,600,11.05,215.65,13.98,11,2,6
"23,400.00",25,221.4,252.5,325,25.85,240,14.22,514,130,225
"23,450.00",600,229.65,268.25,"1,500",-194.6,255,14.02,9,1,1
"23,500.00",25,271.5,285.5,25,32.85,277.95,14.11,"1,280",84,969
"23,550.00",600,279.7,323.15,600,45.9,306.9,14.39,298,94,108
"23,600.00",125,317,335,50,35.75,325.35,14.21,802,156,368
"23,650.00",600,254.25,395.15,600,-151.15,235.3,9.72,272,70,74
"23,700.00",75,347.15,410.15,200,-191.4,385.85,14.64,213,84,84
"23,750.00",-,-,-,-,-103.15,501.95,18.17,3,3,3
"23,800.00",-,-,-,-,-,-,-,-,-,-
"23,850.00",-,-,-,-,-,-,-,-,-,-
"23,900.00",-,-,-,-,-,-,-,-,-,-
"23,950.00",-,-,-,-,-,-,-,-,-,-
"24,000.00",-,-,-,-,-,-,-,-,-,-
"24,050.00",-,-,-,-,-,-,-,-,-,-
"24,100.00",-,-,-,-,-,-,-,-,-,-
"24,150.00",-,-,-,-,-,-,-,-,-,-
"24,200.00",-,-,-,-,-,-,-,-,-,-
"24,250.00",-,-,-,-,-,-,-,-,-,-
"24,300.00",-,-,-,-,-,-,-,-,-,-
"24,350.00",-,-,-,-,-,-,-,-,-,-
"24,400.00",-,-,-,-,-,-,-,-,-,-
"24,450.00",-,-,-,-,-,-,-,-,-,-
"24,500.00",-,-,-,-,-,-,-,-,-,-
"24,550.00",-,-,-,-,-,-,-,-,-,-
"24,600.00",-,-,-,-,-,-,-,-,-,-
"24,650.00",-,-,-,-,-,-,-,-,-,-
"24,700.00",-,-,-,-,-,-,-,-,-,-
"24,750.00",-,-,-,-,-,-,-,-,-,-
"24,800.00",-,-,-,-,-,-,-,-,-,-
"24,850.00",-,-,-,-,-,-,-,-,-,-
"24,900.00",-,-,-,-,-,-,-,-,-,-
"24,950.00",-,-,-,-,-,-,-,-,-,-
"25,000.00",-,-,-,-,-,-,-,-,-,-
"25,050.00",-,-,-,-,-,-,-,-,-,-
"25,100.00",-,-,-,-,-,-,-,-,-,-
"25,150.00",-,-,-,-,-,-,-,-,-,-
"25,200.00",-,-,-,-,-,-,-,-,-,-
"25,250.00",-,-,-,-,-,-,-,-,-,-
"25,300.00",-,-,-,-,-,-,-,-,-,-
